Experiment,Query_ID,State,Latency (s),Throughput (tok/s),Cost (ms/token),Input Tokens,Output Tokens,L3 Disk Cache (MB),RAM (GB),Prompt Preview
4. Multi-Turn Chat,40,Warm,0.2336,4978.78,0.204,1143,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,41,Warm,0.2034,5869.2,0.173,1174,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,42,Warm,0.1648,7414.32,0.137,1202,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,43,Warm,0.1709,7294.71,0.139,1227,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,44,Warm,0.2169,5928.24,0.171,1266,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,45,Warm,0.2356,5556.66,0.183,1289,20,24.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,46,Warm,0.248,5375.83,0.189,1313,20,27.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,47,Warm,0.231,5874.06,0.173,1337,20,27.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,48,Warm,0.2688,5141.92,0.197,1362,20,27.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,49,Warm,0.1986,7105.61,0.143,1391,20,27.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,50,Warm,0.2986,4816.49,0.211,1418,20,27.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
