Experiment,Query_ID,State,Latency (s),Throughput (tok/s),Cost (ms/token),Input Tokens,Output Tokens,L1 GPU KV Usage (%),L2 CPU Cache (MB),L3 Disk Cache (MB),Disk Delta (MB),New Cache Chunks,RAM (GB),Prompt Preview
4. Multi-Turn Chat,20,Warm,0.1498,4052.65,0.255,587,20,,0.0,9.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,21,Warm,0.1486,4260.46,0.242,613,20,,0.0,9.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,22,Warm,0.1592,4158.62,0.248,642,20,,0.0,9.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,23,Warm,0.143,4810.74,0.214,668,20,,0.0,9.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,24,Warm,0.1418,5012.96,0.205,691,20,,0.0,9.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,25,Warm,0.1494,4964.97,0.207,722,20,,0.0,9.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,26,Warm,0.1442,5325.59,0.193,748,20,,0.0,9.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,27,Partial,0.1525,5211.8,0.197,775,20,,0.0,12.0,3.0,1,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,28,Partial,0.1561,5264.65,0.195,802,20,,0.0,15.0,3.0,1,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,29,Warm,0.1527,5573.79,0.184,831,20,,0.0,15.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,30,Warm,0.1532,5725.0,0.179,857,20,,0.0,15.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,31,Warm,0.1463,6177.52,0.166,884,20,,0.0,15.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,32,Warm,0.1485,6294.91,0.162,915,20,,0.0,15.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,33,Warm,0.1573,6154.73,0.166,948,20,,0.0,15.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,34,Warm,0.1553,6396.07,0.16,973,20,,0.0,15.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,35,Warm,0.1471,6927.04,0.147,999,20,,0.0,15.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,36,Partial,0.1574,6682.97,0.153,1032,20,,0.0,18.0,3.0,1,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,37,Partial,0.1591,6789.1,0.15,1060,20,,0.0,21.0,3.0,1,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,38,Warm,0.1437,7703.88,0.132,1087,20,,0.0,21.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,39,Warm,0.1732,6529.96,0.156,1111,20,,0.0,21.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,40,Warm,0.149,7803.15,0.13,1143,20,,0.0,21.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,41,Warm,0.1788,6678.8,0.152,1174,20,,0.0,21.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,42,Warm,0.1612,7582.3,0.134,1202,20,,0.0,21.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,43,Warm,0.1427,8737.62,0.116,1227,20,,0.0,21.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,44,Warm,0.1461,8799.82,0.115,1266,20,,0.0,21.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,45,Partial,0.1662,7874.38,0.129,1289,20,,0.0,24.0,3.0,1,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,46,Partial,0.1724,7733.71,0.131,1313,20,,0.0,27.0,3.0,1,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,47,Warm,0.1527,8885.15,0.114,1337,20,,0.0,27.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,48,Warm,0.1543,8953.69,0.113,1362,20,,0.0,27.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,49,Warm,0.1759,8020.11,0.126,1391,20,,0.0,27.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,50,Warm,0.1606,8953.62,0.113,1418,20,,0.0,27.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
